timestamp,day,VOLCANIC_ROCK,VOLCANIC_ROCK_VOUCHER_9500,VOLCANIC_ROCK_VOUCHER_9750,VOLCANIC_ROCK_VOUCHER_10000,VOLCANIC_ROCK_VOUCHER_10250,VOLCANIC_ROCK_VOUCHER_10500
0,2,10218.5,718.5,469.5,233.5,63.5,8.5
100,2,10217.5,718.0,469.0,234.5,62.5,8.5
200,2,10222.0,722.5,473.5,235.5,64.5,9.5
300,2,10223.0,723.5,474.5,235.5,65.5,9.5
400,2,10217.0,717.5,468.5,234.5,62.5,8.5
500,2,10216.5,717.0,468.5,229.5,62.5,8.5
600,2,10215.0,715.5,466.5,229.5,62.5,8.5
700,2,10219.5,719.5,470.5,232.5,63.5,8.5
800,2,10221.0,721.5,472.5,235.5,64.5,8.5
900,2,10217.5,717.5,469.5,231.5,62.5,8.5
1000,2,10217.0,717.5,468.5,230.5,62.5,8.5
1100,2,10217.0,717.5,468.5,231.5,62.5,8.5
1200,2,10216.5,716.5,467.5,230.5,62.5,8.5
1300,2,10217.0,717.5,469.5,230.5,62.5,8.5
1400,2,10218.0,718.5,469.5,230.5,63.5,8.5
1500,2,10218.0,718.5,469.5,231.5,63.5,8.5
1600,2,10219.5,720.0,471.5,233.5,63.5,8.5
1700,2,10217.0,717.5,468.5,234.5,62.5,8.5
1800,2,10219.5,719.5,470.5,230.5,63.5,8.5
1900,2,10224.5,724.5,476.5,237.5,66.5,9.5
2000,2,10223.0,723.5,474.5,237.5,65.5,9.5
2100,2,10224.0,724.5,475.5,239.5,65.5,9.5
2200,2,10224.5,724.5,476.5,234.5,65.5,9.5
2300,2,10224.0,724.5,474.5,236.5,65.5,9.5
2400,2,10219.5,719.5,470.5,232.5,63.5,8.5
2500,2,10221.5,721.5,473.5,237.5,64.5,9.5
2600,2,10221.0,721.5,472.5,237.5,64.5,8.5
2700,2,10220.5,720.5,472.0,232.5,64.5,8.5
2800,2,10221.0,721.5,472.5,234.5,64.5,9.5
2900,2,10223.0,723.5,474.5,235.5,65.5,9.5
3000,2,10228.0,728.5,479.5,240.5,67.5,9.5
3100,2,10226.5,726.5,478.0,240.5,66.5,9.5
3200,2,10223.0,723.5,474.5,234.5,65.5,9.5
3300,2,10224.0,724.5,475.5,236.5,65.5,9.5
3400,2,10220.0,720.5,471.5,234.5,64.5,8.5
3500,2,10222.0,722.0,473.0,234.0,64.0,9.0
3600,2,10221.5,721.5,472.5,234.0,64.5,9.5
3700,2,10221.5,721.5,472.5,236.5,64.5,9.5
3800,2,10217.5,718.0,469.5,232.5,62.5,8.5
3900,2,10217.5,718.0,469.5,233.5,63.5,8.5
4000,2,10218.0,718.5,469.5,231.5,63.5,8.5
4100,2,10217.5,717.5,468.5,232.5,63.5,8.5
4200,2,10214.5,714.5,465.5,227.5,61.5,8.5
4300,2,10214.0,714.5,465.5,226.5,61.5,8.5
4400,2,10216.5,716.5,467.5,230.5,62.5,8.5
4500,2,10215.5,715.5,467.5,231.5,62.5,8.5
4600,2,10215.0,715.5,466.5,228.5,61.5,8.5
4700,2,10214.0,714.5,465.5,228.5,61.5,8.5
4800,2,10216.0,716.5,467.5,231.5,62.5,8.5
4900,2,10216.0,716.5,466.5,229.5,62.5,8.5
5000,2,10216.0,716.5,467.0,227.5,62.5,8.5
5100,2,10215.0,715.5,467.5,230.5,62.5,8.5
5200,2,10217.5,718.0,468.5,230.5,63.5,8.5
5300,2,10218.0,718.5,469.5,233.5,63.5,8.5
5400,2,10220.5,720.5,471.5,237.5,64.5,8.5
5500,2,10221.5,721.5,472.5,238.5,64.5,9.5
5600,2,10222.0,722.5,473.5,234.5,65.0,9.5
5700,2,10221.5,721.5,473.5,234.5,64.5,9.5
5800,2,10221.0,721.5,472.5,236.5,64.5,9.5
5900,2,10223.0,723.5,474.5,234.5,65.5,9.5
6000,2,10224.5,725.0,476.5,240.5,66.5,9.5
6100,2,10224.0,724.5,475.5,236.5,65.5,9.5
6200,2,10225.5,726.5,477.5,239.5,66.5,9.5
6300,2,10228.0,728.5,478.5,242.5,67.5,9.5
6400,2,10226.0,726.5,477.5,238.5,66.5,9.5
6500,2,10228.0,728.5,480.5,242.5,67.5,9.5
6600,2,10228.0,728.5,479.5,238.5,67.5,9.5
6700,2,10226.0,726.5,478.5,241.5,66.5,9.5
6800,2,10225.5,726.0,477.5,242.5,66.5,9.5
6900,2,10224.5,724.5,476.5,238.5,66.0,9.5
7000,2,10224.5,725.0,476.5,240.5,66.5,9.5
7100,2,10226.0,726.5,477.5,240.5,66.5,9.5
7200,2,10228.5,728.5,479.5,239.5,67.5,9.5
7300,2,10229.5,729.5,480.5,240.5,68.5,9.5
7400,2,10227.5,727.5,478.5,242.0,67.5,9.5
7500,2,10229.5,729.5,480.5,239.5,68.5,9.5
7600,2,10227.0,727.5,478.5,238.5,67.5,9.5
7700,2,10228.5,728.5,480.5,241.5,67.5,9.5
7800,2,10228.5,729.0,479.5,240.5,68.5,9.5
7900,2,10231.5,732.5,482.5,244.5,69.5,9.5
8000,2,10230.5,730.5,482.5,244.5,68.5,9.5
8100,2,10231.5,731.5,482.5,242.5,69.5,9.5
8200,2,10232.0,732.5,483.5,244.5,69.5,9.5
8300,2,10230.5,731.5,482.5,245.5,68.5,9.5
8400,2,10230.0,730.5,481.5,243.5,68.5,9.5
8500,2,10231.5,731.5,483.5,243.5,69.5,9.5
8600,2,10229.5,729.5,480.5,241.5,68.5,9.5
8700,2,10228.5,728.5,479.5,239.5,67.5,9.5
8800,2,10228.0,728.5,479.5,242.5,67.5,9.5
8900,2,10228.0,728.5,479.5,240.5,67.5,9.5
9000,2,10228.5,728.5,479.5,240.5,67.5,9.5
9100,2,10228.5,729.0,480.5,243.5,67.5,9.5
9200,2,10226.5,727.5,478.5,242.0,67.5,9.5
9300,2,10225.5,725.5,477.5,237.5,66.5,9.5
9400,2,10222.5,722.0,474.0,234.0,65.0,9.0
9500,2,10224.0,724.5,475.5,237.5,65.5,9.5
9600,2,10222.0,722.0,473.5,236.5,64.5,9.5
9700,2,10225.5,725.5,477.5,238.5,66.5,9.5
9800,2,10222.5,722.5,474.0,237.5,65.5,9.5
9900,2,10224.5,724.5,475.5,236.5,66.5,9.5
10000,2,10224.0,724.5,475.5,236.5,65.5,9.5
10100,2,10223.5,723.5,474.5,234.5,65.5,9.5
10200,2,10223.0,723.5,474.5,235.5,65.5,9.5
10300,2,10218.5,719.0,470.0,230.5,63.5,8.5
10400,2,10219.5,719.5,470.5,233.5,63.5,8.5
10500,2,10214.0,714.5,465.5,228.5,61.5,8.5
10600,2,10214.0,714.5,465.5,229.5,61.5,8.5
10700,2,10215.0,715.5,466.5,229.5,61.5,8.5
10800,2,10214.0,714.5,465.5,230.5,61.5,8.5
10900,2,10214.0,714.5,465.5,230.5,61.5,8.5
11000,2,10214.0,714.5,465.5,228.5,61.5,8.5
11100,2,10214.5,714.5,466.0,228.5,61.5,8.5
11200,2,10215.0,715.5,466.5,230.5,61.5,8.5
11300,2,10212.0,712.5,463.5,227.5,60.5,8.5
11400,2,10211.5,711.5,462.5,226.5,60.5,8.5
11500,2,10210.0,710.5,461.5,227.5,59.5,8.5
11600,2,10208.5,709.0,460.5,223.5,59.5,7.5
11700,2,10207.5,708.0,458.5,224.5,58.5,7.5
11800,2,10208.0,708.5,459.5,224.5,58.5,7.5
11900,2,10210.5,710.5,462.5,226.5,59.5,8.5
12000,2,10211.0,711.5,463.5,224.5,60.5,8.5
12100,2,10205.5,706.0,457.5,220.5,57.5,7.5
12200,2,10206.0,706.5,457.5,221.5,57.5,7.5
12300,2,10202.0,702.5,453.5,217.5,56.5,7.5
12400,2,10200.5,700.5,451.5,215.5,55.5,7.5
12500,2,10199.0,699.5,451.5,215.5,55.5,7.5
12600,2,10199.5,699.5,451.0,216.5,55.5,7.5
12700,2,10201.5,702.5,452.5,215.5,56.5,7.5
12800,2,10203.0,703.5,454.5,219.5,56.5,7.5
12900,2,10203.5,703.5,455.5,218.5,56.5,7.5
13000,2,10203.0,703.5,454.5,218.5,56.5,7.5
13100,2,10204.0,704.5,455.5,221.5,57.5,7.5
13200,2,10200.5,700.5,452.0,217.5,55.5,7.5
13300,2,10200.0,700.5,452.5,217.5,55.5,7.5
13400,2,10199.5,699.5,452.5,217.5,55.5,7.5
13500,2,10198.5,699.5,451.5,214.5,54.5,7.5
13600,2,10201.5,702.5,453.5,217.5,56.5,7.5
13700,2,10200.0,700.5,451.5,216.5,55.5,7.5
13800,2,10199.5,699.5,451.0,215.5,55.5,7.5
13900,2,10200.5,700.5,452.5,219.5,55.5,7.5
14000,2,10198.0,698.5,449.5,215.0,54.5,7.5
14100,2,10194.0,694.5,445.5,210.5,53.5,6.5
14200,2,10193.5,693.5,445.0,214.0,52.5,6.5
14300,2,10192.0,692.5,444.5,210.5,52.5,6.5
14400,2,10190.5,690.5,442.5,206.5,51.5,6.5
14500,2,10192.0,692.5,443.5,208.5,52.5,6.5
14600,2,10192.5,692.5,444.5,207.5,52.5,6.5
14700,2,10195.0,695.0,446.5,210.5,53.5,7.5
14800,2,10197.0,697.5,447.5,214.5,54.5,7.5
14900,2,10195.5,695.5,446.5,211.5,53.5,7.5
15000,2,10197.5,697.0,449.0,212.0,54.0,7.0
15100,2,10197.0,697.5,448.5,213.5,54.5,7.5
15200,2,10195.0,695.5,446.5,215.5,53.5,7.5
15300,2,10195.0,695.5,446.5,211.5,53.5,7.5
15400,2,10191.5,691.5,443.5,210.5,52.5,6.5
15500,2,10192.5,692.5,444.5,209.5,52.5,6.5
15600,2,10191.0,691.5,443.5,209.5,51.5,6.5
15700,2,10190.0,690.5,442.5,206.5,51.5,6.5
