timestamp,day,VOLCANIC_ROCK,VOLCANIC_ROCK_VOUCHER_9500,VOLCANIC_ROCK_VOUCHER_9750,VOLCANIC_ROCK_VOUCHER_10000,VOLCANIC_ROCK_VOUCHER_10250,VOLCANIC_ROCK_VOUCHER_10500
0,1,10516.0,1016.0,766.5,517.5,279.5,95.5
100,1,10515.0,1015.5,765.5,516.5,278.5,94.5
200,1,10515.0,1015.5,765.5,516.5,278.5,94.5
300,1,10517.0,1017.5,767.5,519.5,280.5,95.5
400,1,10519.5,1019.5,770.5,521.5,282.5,97.5
500,1,10517.5,1017.5,768.0,519.5,280.5,96.5
600,1,10515.5,1015.5,766.0,517.5,278.5,95.5
700,1,10516.0,1016.5,766.5,517.5,279.5,95.5
800,1,10515.5,1015.5,766.0,517.5,278.5,95.5
900,1,10517.0,1016.0,767.0,518.0,279.0,95.0
1000,1,10516.0,1016.5,766.5,518.5,279.5,95.5
1100,1,10517.5,1017.5,768.5,519.5,280.5,96.5
1200,1,10517.0,1017.5,767.5,519.5,280.5,95.5
1300,1,10516.5,1017.0,767.5,518.5,279.5,95.5
1400,1,10517.5,1017.5,768.0,518.5,280.5,96.5
1500,1,10517.5,1017.5,768.5,519.5,280.5,96.5
1600,1,10516.0,1016.5,766.5,517.5,279.5,95.5
1700,1,10516.5,1016.5,766.5,517.5,279.5,95.5
1800,1,10515.0,1015.0,765.5,516.5,278.5,94.5
1900,1,10514.5,1014.5,764.5,515.5,277.5,94.5
2000,1,10515.0,1014.5,765.5,516.5,278.5,94.5
2100,1,10514.0,1014.5,764.5,515.5,277.5,94.5
2200,1,10512.0,1012.5,762.5,513.5,275.5,93.5
2300,1,10510.5,1010.5,761.0,512.5,274.5,92.5
2400,1,10509.0,1009.5,759.5,510.5,273.5,91.5
2500,1,10512.5,1012.5,762.5,514.5,276.5,93.5
2600,1,10510.5,1010.5,760.5,512.5,274.0,92.5
2700,1,10509.0,1009.5,759.5,510.5,272.5,91.5
2800,1,10508.5,1008.5,759.5,510.5,272.5,91.5
2900,1,10505.0,1005.5,755.5,506.5,269.5,89.5
3000,1,10505.0,1005.5,755.5,507.5,269.5,89.5
3100,1,10505.5,1006.0,756.5,507.5,269.5,89.5
3200,1,10506.0,1006.5,756.5,507.5,270.5,89.5
3300,1,10505.0,1005.5,755.5,507.5,269.5,89.5
3400,1,10506.0,1006.5,756.5,508.0,270.5,90.5
3500,1,10507.5,1007.5,758.5,509.5,271.5,90.5
3600,1,10506.5,1006.5,756.5,508.5,270.5,90.5
3700,1,10506.5,1007.0,757.5,508.5,270.5,90.5
3800,1,10508.5,1008.5,758.5,510.5,272.5,91.5
3900,1,10507.0,1007.5,757.5,508.5,271.5,90.5
4000,1,10508.0,1008.5,758.5,510.5,272.5,91.5
4100,1,10508.0,1008.5,758.5,510.5,271.5,91.5
4200,1,10510.0,1010.0,760.5,511.5,273.5,92.5
4300,1,10507.5,1008.0,758.0,508.5,272.0,91.0
4400,1,10508.0,1008.0,758.5,509.5,271.5,91.0
4500,1,10507.0,1007.0,757.5,508.5,270.5,90.5
4600,1,10506.0,1006.5,756.5,507.5,270.5,90.5
4700,1,10506.5,1006.5,756.5,508.5,270.5,90.5
4800,1,10505.5,1005.5,756.5,507.5,270.0,89.5
4900,1,10503.0,1003.5,753.5,504.5,267.5,88.5
5000,1,10504.0,1004.0,754.5,505.5,268.5,89.5
5100,1,10503.0,1003.5,753.5,504.5,267.5,88.5
5200,1,10502.5,1003.5,753.5,505.5,267.5,88.5
5300,1,10505.5,1005.5,755.5,507.5,269.5,89.5
5400,1,10506.0,1006.5,756.5,507.5,270.5,90.5
5500,1,10510.0,1010.5,760.5,511.5,273.5,92.5
5600,1,10512.0,1012.0,762.5,513.5,275.5,93.5
5700,1,10509.5,1009.5,759.5,511.5,273.5,91.5
5800,1,10512.5,1012.5,762.5,514.5,275.5,93.5
5900,1,10513.0,1013.5,763.5,514.5,276.5,93.5
6000,1,10514.0,1014.5,764.5,516.5,277.5,94.5
6100,1,10515.0,1015.5,765.5,517.5,278.5,94.5
6200,1,10514.5,1014.5,764.5,516.5,277.5,94.5
6300,1,10513.5,1013.5,764.0,515.5,277.5,94.5
6400,1,10511.0,1011.5,761.5,512.5,274.5,92.5
6500,1,10512.0,1012.5,762.5,513.5,275.5,93.5
6600,1,10509.0,1009.5,759.5,511.0,273.0,91.5
6700,1,10511.0,1011.5,761.5,513.5,274.5,92.5
6800,1,10512.0,1012.5,762.5,513.5,275.5,93.5
6900,1,10515.5,1015.5,766.0,517.5,278.5,95.5
7000,1,10515.0,1014.5,765.5,516.5,278.5,94.5
7100,1,10512.5,1012.5,762.5,514.5,276.5,93.5
7200,1,10512.5,1012.5,762.5,513.5,275.5,93.5
7300,1,10509.5,1009.5,760.0,511.5,273.5,91.5
7400,1,10512.0,1012.5,762.5,513.5,275.5,93.5
7500,1,10512.0,1012.5,762.5,514.5,275.5,93.5
7600,1,10512.0,1012.5,762.5,513.5,275.5,93.5
7700,1,10512.0,1012.0,762.5,513.5,275.5,93.5
7800,1,10512.0,1012.0,762.5,513.5,275.5,93.5
7900,1,10512.5,1012.5,762.5,514.5,275.5,93.5
8000,1,10513.0,1013.5,763.5,514.5,276.5,93.5
8100,1,10512.5,1012.5,762.5,513.5,275.5,93.5
8200,1,10512.5,1012.5,762.5,514.5,275.5,93.5
8300,1,10511.5,1011.5,761.5,512.5,275.5,92.5
8400,1,10508.5,1008.5,758.5,510.5,272.5,91.5
8500,1,10508.5,1008.5,758.5,510.5,272.5,91.5
8600,1,10509.0,1009.0,759.5,510.5,272.5,91.5
8700,1,10509.0,1009.5,759.5,511.5,273.5,91.5
8800,1,10509.0,1009.5,759.5,511.5,272.5,91.5
8900,1,10510.5,1010.0,760.5,512.0,274.0,92.0
9000,1,10510.5,1010.5,760.5,512.5,274.5,92.5
9100,1,10506.5,1006.5,757.0,508.5,270.5,90.5
