timestamp,VOLCANIC_ROCK,VOLCANIC_ROCK_VOUCHER_9500,VOLCANIC_ROCK_VOUCHER_9750,VOLCANIC_ROCK_VOUCHER_10000,VOLCANIC_ROCK_VOUCHER_10250,VOLCANIC_ROCK_VOUCHER_10500
0,10516.0,1016.0,766.5,517.5,279.5,95.5
100,10515.0,1015.5,765.5,516.5,278.5,94.5
200,10515.0,1015.5,765.5,516.5,278.5,94.5
300,10517.0,1017.5,767.5,519.5,280.5,95.5
400,10519.5,1019.5,770.5,521.5,282.5,97.5
500,10517.5,1017.5,768.0,519.5,280.5,96.5
600,10515.5,1015.5,766.0,517.5,278.5,95.5
700,10516.0,1016.5,766.5,517.5,279.5,95.5
800,10515.5,1015.5,766.0,517.5,278.5,95.5
900,10517.0,1016.0,767.0,518.0,279.0,95.0
1000,10516.0,1016.5,766.5,518.5,279.5,95.5
1100,10517.5,1017.5,768.5,519.5,280.5,96.5
1200,10517.0,1017.5,767.5,519.5,280.5,95.5
1300,10516.5,1017.0,767.5,518.5,279.5,95.5
1400,10517.5,1017.5,768.0,518.5,280.5,96.5
1500,10517.5,1017.5,768.5,519.5,280.5,96.5
1600,10516.0,1016.5,766.5,517.5,279.5,95.5
1700,10516.5,1016.5,766.5,517.5,279.5,95.5
1800,10515.0,1015.0,765.5,516.5,278.5,94.5
1900,10514.5,1014.5,764.5,515.5,277.5,94.5
2000,10515.0,1014.5,765.5,516.5,278.5,94.5
2100,10514.0,1014.5,764.5,515.5,277.5,94.5
2200,10512.0,1012.5,762.5,513.5,275.5,93.5
2300,10510.5,1010.5,761.0,512.5,274.5,92.5
2400,10509.0,1009.5,759.5,510.5,273.5,91.5
2500,10512.5,1012.5,762.5,514.5,276.5,93.5
2600,10510.5,1010.5,760.5,512.5,274.0,92.5
2700,10509.0,1009.5,759.5,510.5,272.5,91.5
2800,10508.5,1008.5,759.5,510.5,272.5,91.5
2900,10505.0,1005.5,755.5,506.5,269.5,89.5
3000,10505.0,1005.5,755.5,507.5,269.5,89.5
3100,10505.5,1006.0,756.5,507.5,269.5,89.5
3200,10506.0,1006.5,756.5,507.5,270.5,89.5
3300,10505.0,1005.5,755.5,507.5,269.5,89.5
3400,10506.0,1006.5,756.5,508.0,270.5,90.5
3500,10507.5,1007.5,758.5,509.5,271.5,90.5
3600,10506.5,1006.5,756.5,508.5,270.5,90.5
3700,10506.5,1007.0,757.5,508.5,270.5,90.5
3800,10508.5,1008.5,758.5,510.5,272.5,91.5
3900,10507.0,1007.5,757.5,508.5,271.5,90.5
4000,10508.0,1008.5,758.5,510.5,272.5,91.5
4100,10508.0,1008.5,758.5,510.5,271.5,91.5
4200,10510.0,1010.0,760.5,511.5,273.5,92.5
4300,10507.5,1008.0,758.0,508.5,272.0,91.0
4400,10508.0,1008.0,758.5,509.5,271.5,91.0
4500,10507.0,1007.0,757.5,508.5,270.5,90.5
4600,10506.0,1006.5,756.5,507.5,270.5,90.5
4700,10506.5,1006.5,756.5,508.5,270.5,90.5
4800,10505.5,1005.5,756.5,507.5,270.0,89.5
4900,10503.0,1003.5,753.5,504.5,267.5,88.5
5000,10504.0,1004.0,754.5,505.5,268.5,89.5
5100,10503.0,1003.5,753.5,504.5,267.5,88.5
5200,10502.5,1003.5,753.5,505.5,267.5,88.5
5300,10505.5,1005.5,755.5,507.5,269.5,89.5
5400,10506.0,1006.5,756.5,507.5,270.5,90.5
5500,10510.0,1010.5,760.5,511.5,273.5,92.5
5600,10512.0,1012.0,762.5,513.5,275.5,93.5
5700,10509.5,1009.5,759.5,511.5,273.5,91.5
5800,10512.5,1012.5,762.5,514.5,275.5,93.5
5900,10513.0,1013.5,763.5,514.5,276.5,93.5
6000,10514.0,1014.5,764.5,516.5,277.5,94.5
6100,10515.0,1015.5,765.5,517.5,278.5,94.5
6200,10514.5,1014.5,764.5,516.5,277.5,94.5
6300,10513.5,1013.5,764.0,515.5,277.5,94.5
6400,10511.0,1011.5,761.5,512.5,274.5,92.5
6500,10512.0,1012.5,762.5,513.5,275.5,93.5
6600,10509.0,1009.5,759.5,511.0,273.0,91.5
6700,10511.0,1011.5,761.5,513.5,274.5,92.5
6800,10512.0,1012.5,762.5,513.5,275.5,93.5
