timestamp,buyer,seller,symbol,currency,price,quantity
3500,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,234.0,14
3500,Caesar,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,234.0,2
4200,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,227.0,7
4800,Penelope,Camilla,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,232.0,15
7000,Penelope,Camilla,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,241.0,15
7600,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,238.0,13
9400,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,234.0,10
12500,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,215.0,18
15000,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,212.0,17
17300,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,215.0,9
17900,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,216.0,14
19400,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,219.0,17
21000,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,217.0,12
21300,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,221.0,14
21400,Camilla,Penelope,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,218.0,17
22800,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,222.0,17
22800,Caesar,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,222.0,1
24100,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,217.0,15
26400,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,214.0,10
27100,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,218.0,11
27800,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,216.0,15
29500,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,205.0,11
30700,Penelope,Camilla,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,202.0,12
31200,Camilla,Penelope,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,199.0,11
31800,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,200.0,16
31800,Caesar,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,200.0,1
32600,Penelope,Camilla,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,202.0,17
34800,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,208.0,10
35600,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,209.0,14
36800,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,210.0,12
36800,Caesar,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,210.0,2
38100,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,213.0,13
40300,Camilla,Penelope,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,213.0,10
41200,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,211.0,11
43600,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,201.0,12
45300,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,205.0,12
45700,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,204.0,14
46100,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,206.0,10
47600,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,200.0,12
48300,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,198.0,10
48300,Caesar,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,198.0,2
49100,Penelope,Camilla,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,195.0,11
50100,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,191.0,12
50100,Caesar,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,191.0,2
50700,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,190.0,11
52700,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,185.0,10
52700,Caesar,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,185.0,2
53400,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,185.0,11
56500,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,181.0,15
56500,Caesar,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,181.0,2
