day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
2,0,VOLCANIC_ROCK_VOUCHER_10000,233.0,11.0,,,,,234.0,11.0,,,,,233.5,0.0
2,100,VOLCANIC_ROCK_VOUCHER_10000,234.0,19.0,,,,,235.0,19.0,,,,,234.5,0.0
2,200,VOLCANIC_ROCK_VOUCHER_10000,235.0,15.0,,,,,236.0,15.0,,,,,235.5,0.0
2,300,VOLCANIC_ROCK_VOUCHER_10000,235.0,16.0,,,,,236.0,16.0,,,,,235.5,0.0
2,400,VOLCANIC_ROCK_VOUCHER_10000,234.0,16.0,,,,,235.0,16.0,,,,,234.5,0.0
2,500,VOLCANIC_ROCK_VOUCHER_10000,229.0,14.0,,,,,230.0,14.0,,,,,229.5,0.0
2,600,VOLCANIC_ROCK_VOUCHER_10000,229.0,12.0,228.0,14.0,,,230.0,14.0,,,,,229.5,0.0
2,700,VOLCANIC_ROCK_VOUCHER_10000,232.0,12.0,,,,,233.0,12.0,,,,,232.5,0.0
2,800,VOLCANIC_ROCK_VOUCHER_10000,235.0,11.0,,,,,236.0,11.0,,,,,235.5,0.0
2,900,VOLCANIC_ROCK_VOUCHER_10000,231.0,14.0,,,,,232.0,14.0,,,,,231.5,0.0
2,1000,VOLCANIC_ROCK_VOUCHER_10000,230.0,20.0,,,,,231.0,20.0,,,,,230.5,0.0
2,1100,VOLCANIC_ROCK_VOUCHER_10000,231.0,21.0,,,,,232.0,21.0,,,,,231.5,0.0
2,1200,VOLCANIC_ROCK_VOUCHER_10000,230.0,13.0,,,,,231.0,13.0,,,,,230.5,0.0
2,1300,VOLCANIC_ROCK_VOUCHER_10000,230.0,10.0,,,,,231.0,10.0,,,,,230.5,0.0
2,1400,VOLCANIC_ROCK_VOUCHER_10000,230.0,18.0,,,,,231.0,18.0,,,,,230.5,0.0
2,1500,VOLCANIC_ROCK_VOUCHER_10000,231.0,18.0,,,,,232.0,18.0,,,,,231.5,0.0
2,1600,VOLCANIC_ROCK_VOUCHER_10000,233.0,13.0,,,,,234.0,13.0,,,,,233.5,0.0
2,1700,VOLCANIC_ROCK_VOUCHER_10000,234.0,29.0,,,,,235.0,18.0,,,,,234.5,0.0
2,1800,VOLCANIC_ROCK_VOUCHER_10000,230.0,17.0,,,,,231.0,17.0,,,,,230.5,0.0
2,1900,VOLCANIC_ROCK_VOUCHER_10000,237.0,13.0,,,,,238.0,13.0,,,,,237.5,0.0
2,2000,VOLCANIC_ROCK_VOUCHER_10000,237.0,11.0,,,,,238.0,11.0,,,,,237.5,0.0
2,2100,VOLCANIC_ROCK_VOUCHER_10000,239.0,16.0,,,,,240.0,16.0,,,,,239.5,0.0
2,2200,VOLCANIC_ROCK_VOUCHER_10000,234.0,14.0,,,,,235.0,14.0,,,,,234.5,0.0
2,2300,VOLCANIC_ROCK_VOUCHER_10000,236.0,31.0,,,,,237.0,19.0,,,,,236.5,0.0
2,2400,VOLCANIC_ROCK_VOUCHER_10000,232.0,17.0,,,,,233.0,17.0,,,,,232.5,0.0
2,2500,VOLCANIC_ROCK_VOUCHER_10000,237.0,11.0,,,,,238.0,11.0,,,,,237.5,0.0
2,2600,VOLCANIC_ROCK_VOUCHER_10000,237.0,11.0,,,,,238.0,11.0,,,,,237.5,0.0
2,2700,VOLCANIC_ROCK_VOUCHER_10000,232.0,13.0,,,,,233.0,13.0,,,,,232.5,0.0
2,2800,VOLCANIC_ROCK_VOUCHER_10000,234.0,12.0,,,,,235.0,12.0,,,,,234.5,0.0
2,2900,VOLCANIC_ROCK_VOUCHER_10000,235.0,17.0,,,,,236.0,17.0,,,,,235.5,0.0
2,3000,VOLCANIC_ROCK_VOUCHER_10000,240.0,12.0,,,,,241.0,12.0,,,,,240.5,0.0
2,3100,VOLCANIC_ROCK_VOUCHER_10000,240.0,18.0,,,,,241.0,18.0,,,,,240.5,0.0
2,3200,VOLCANIC_ROCK_VOUCHER_10000,234.0,13.0,,,,,235.0,13.0,,,,,234.5,0.0
2,3300,VOLCANIC_ROCK_VOUCHER_10000,236.0,14.0,,,,,237.0,14.0,,,,,236.5,0.0
